name,ra_deg,dec_deg,type,mag,notes
M66,170.0625,12.991667,Barred Spiral galaxy,8.9,Leo Triplet NGC 3627
NGC 2403,114.214,65.601,Galaxy,8.9,Camelopardalis
M86,186.54875,12.946111,Lenticular galaxy,8.9,NGC 4406
M77,40.669583,-0.013333,Spiral galaxy,8.9,Cetus A or Squid Galaxy NGC 1068
M73,314.725,-12.633333,Asterism,9,NGC 6994
M43,83.9,-5.266667,H II region nebula (part of the Orion Nebula),9,De Mairan's Nebula NGC 1982
NGC 5466,211.363,28.534,Globular Cluster,9.1,High latitude
M84,186.265417,12.886944,Lenticular galaxy,9.1,NGC 4374
M85,186.35,18.191111,Lenticular galaxy,9.1,NGC 4382
NGC 2392,112.288,20.911,Planetary Nebula,9.2,Eskimo
M96,161.690417,11.82,Spiral galaxy,9.2,NGC 3368
M65,169.732917,13.092222,Barred Spiral galaxy,9.3,Leo Triplet NGC 3623
M105,161.956667,12.581667,Elliptical galaxy,9.3,NGC 3379
M72,313.365417,-12.537306,Globular cluster,9.3,NGC 6981
IC 418,82.147,-12.701,Planetary Nebula,9.3,Spirograph
M100,185.72875,15.8225,Spiral galaxy,9.3,Mirror Galaxy NGC 4321
NGC 7331,339.267,34.415,Galaxy,9.4,Deer Lick
NGC 6229,251.744,47.528,Globular Cluster,9.4,Hercules
M74,24.174167,15.783611,Spiral galaxy,9.4,Phantom Galaxy[91] NGC 628
NGC 3628,170.067,13.588,Galaxy,9.5,Hamburger (Leo Triplet)
M90,189.2075,13.162778,Spiral galaxy,9.5,NGC 4569
M59,190.509583,11.646944,Elliptical galaxy,9.6,NGC 4621
NGC 6946,308.717,60.153,Galaxy,9.6,Fireworks Galaxy
M88,187.996667,14.420556,Spiral galaxy,9.6,NGC 4501
M58,189.43125,11.818056,Barred Spiral galaxy,9.7,NGC 4579
M95,160.990417,11.703889,Barred Spiral galaxy,9.7,NGC 3351
NGC 2683,133.904,33.422,Galaxy,9.7,UFO Galaxy
M61,185.47875,4.473611,Spiral galaxy,9.7,Swelling Spiral Galaxy NGC 4303
M109,179.4,53.374444,Barred Spiral galaxy,9.8,Vacuum Cleaner Galaxy NGC 3992
M89,188.915833,12.556389,Elliptical galaxy,9.8,NGC 4552
NGC 4631,190.533,32.541,Galaxy,9.8,Whale Galaxy
M102,226.622917,55.763333,Lenticular galaxy,9.9,Spindle Galaxy NGC 5866
M97,168.69875,55.019028,Planetary nebula,9.9,Owl Nebula NGC 3587
M99,184.706667,14.416389,Spiral galaxy,9.9,St. Catherine's Wheel NGC 4254
M108,167.879167,55.674167,Barred Spiral galaxy,10,Surfboard Galaxy NGC 3556
NGC 4216,183.989,13.155,Galaxy,10,Virgo Cluster
M76,25.6,51.575278,Planetary nebula,10.1,"Little Dumbbell Nebula NGC 650, NGC 651"
M98,183.45125,14.900472,Spiral galaxy,10.1,NGC 4192
M91,188.86,14.496389,Barred Spiral galaxy,10.2,NGC 4548
NGC 2419,114.535,38.881,Globular Cluster,10.3,Intergalactic Wanderer
NGC 4565,189.086,25.987,Galaxy,10.4,Needle Galaxy
NGC 7814,0.877,16.146,Galaxy,10.6,Little Sombrero
NGC 7006,315.372,16.187,Globular Cluster,10.6,Delphinus
IC 2149,92.259,46.113,Planetary Nebula,10.6,Auriga
NGC 925,36.822,33.579,Galaxy,10.7,Triangulum region
NGC 40,3.257,72.522,Planetary Nebula,10.7,Bow-Tie
NGC 7008,315.403,54.954,Planetary Nebula,10.7,Fetus Nebula
NGC 891,35.638,42.349,Galaxy,10.8,"Edge-on, Andromeda"
NGC 2905,143.05,21.5,Galaxy,12,Knot in NGC 2903 arm
